Product Name,Category,Total Qty,Wishlists,Buy Price,Sell Price,URL,Barcode,Manufacturer SKU,ASIN,MSRP,Brand,Weight,Description,Max Qty,Domestic Only,Tax Exempt
Arcane Adaptation,Ixalan,2,0,0.00,1.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/arcane_adaptation/1534033,,,B075NVLDBN,0.00,"",0.005,"",4,,false
Ashes of the Abhorrent,Ixalan,21,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/ashes_of_the_abhorrent/1534043,,,B075NTCSRG,0.00,"",0.005,"",4,,false
Daring Saboteur,Ixalan,30,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/daring_saboteur/1534053,,,B075NVDLS6,0.00,"",0.005,"",4,,false
Admiral Beckett Brass,Ixalan,14,0,0.00,1.49,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/admiral_beckett_brass/1534063,,,B075NVLWNX,0.00,"",0.005,"",4,,false
Angrath's Marauders,Ixalan,38,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/angraths_marauders/1534073,,,B075NT85JL,0.00,"",0.005,"",4,,false
Bishop of Rebirth,Ixalan,15,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bishop_of_rebirth/1534083,,,B075NWJM91,0.00,"",0.005,"",4,,false
Bloodcrazed Paladin,Ixalan,34,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bloodcrazed_paladin/1534093,,,B075NT7HPQ,0.00,"",0.005,"",4,,false
Boneyard Parley,Ixalan,22,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/boneyard_parley/1534103,,,B075NTCSZT,0.00,"",0.005,"",4,,false
Burning Sun's Avatar,Ixalan,52,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/burning_suns_avatar/1534113,,,B075NTW8RF,0.00,"",0.005,"",4,,false
Captain Lannery Storm,Ixalan,5,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/captain_lannery_storm/1534123,,,B075NSYHZ2,0.00,"",0.005,"",4,,false
